1, S, 1
0.4, S, 1
0.4, S, 1
0.4, S, 1
0.4, S, 1
1, S, 3
0.4, S, 3
0.4, S, 3
0.4, S, 3
0.4, S, 3
2.5, M, 2
0, M, 0
0, M, 4
1, S, 7
0.4, S, 7
0.4, S, 7
1, S, 7
0.4, S, 5
0.4, S, 5
3, L, 3
0.4, S, 5
0.4, S, 5
1, L, 1
1, S, 1
0.4, S, 1
0.4, S, 1
0.4, S, 1
0.4, S, 1
1, S, 3
0.4, S, 3
0.4, S, 3
0.4, S, 3
0.4, S, 3
2.5, M, 2
0, M, 0
0, M, 4
1, S, 7
0.4, S, 7
0.4, S, 7
1, S, 7
0.4, S, 5
0.4, S, 5
3, L, 3
0.4, S, 5
0.4, S, 5
1, L, 1
1, S, 1
0.4, S, 2
0.4, S, 2
0.4, S, 2
0.4, S, 2
1, S, 3
0.4, S, 4
0.4, S, 4
0.4, S, 4
0.4, S, 4
2.5, M, 2
0, M, 0
0, M, 4
1, S, 7
0.4, S, 7
0.4, S, 7
1, S, 7
0.4, S, 3
0.4, S, 3
3, L, 3
0.4, S, 4
0.4, S, 4
1, L, 1
4, B, 2
0.6, S, 4
0.6, S, 4
0.6, S, 4
0.6, S, 4
2.7, M, 2
0, M, 1
0, M, 4
1, S, 7
4, B, 2
